	1320
bolívar	9
bombardment	1
bombay	1
bombilla	1
bombshell	1
bonds	2
bone	1
bones	2
book	10
books	7
bookstall	1
bookstores	2
boom	4
boot	1
booths	1
bootleggers	1
boots	1
boquete	3
borax	7
borda	1
border	18
bordered	4
bordering	1
borders	3
bore	3
bories	1
borja	1
born	38
borne	4
borquez	1
borrowed	4
borrowings	1
boston	1
botanist	2
both	54
bottled	1
bottler	1
bottles	2
bottom	3
bottomed	1
bougainville	1
bought	6
bound	12
boundaries	4
boundary	15
bounty	1
bourbons	1
bow	1
bower	2
bowl	4
bows	1
boy	1
boys	2
bracken	1
braden	8
brakes	1
bramble	1
branch	12
branches	17
brand	1
brands	2
brandy	4
brasilensis_	1
brave	2
bravely	1
bravo	1
brazier	1
brazil	21
brazilian	4
breach	3
breaches	1
bread	2
breadth	1
break	3
breakers	1
breaking	3
breakwater	2
breakwaters	2
breast	2
breath	2
breathlessly	1
bred	6
breed	2
breeder	1
breeze	2
breezes	1
brest	1
brevity	1
brewer	1
breweries	2
brewery	1
bricks	1
bridge	3
bridges	1
brief	3
briefly	1
brien	2
brien_	1
brig	4
bright	21
brightest	1
brightness	1
brilliant	18
brilliantly	1
bring	15
bringing	13
brisk	6
brisker	1
bristol	1
britain	3
british	76
briton	3
britons	2
broad	6
broadcast	1
broadly	1
broke	12
broken	19
brokers	1
bromeliacrae	1
bromine	1
bronze	1
brooks	1
bros	1
broth	1
brothel	1
brother	8
brotherly	1
brothers	10
brought	73
brouwer	3
brown	8
brumas	1
brunswick	2
brutal	1
brutalities	1
brutality	1
brutish	1
bruto	1
buccaneers	1
budi	2
buena	4
buenas	1
bueno	5
buenos	40
buffer	2
buffeting	1
build	3
builder	1
builders	1
building	12
buildings	7
built	67
bulk	8
bulkeley	4
bull	3
bullion	1
bullying	1
bulnes	4
bumpkin	1
bunches	1
bundles	1
bunker	2
bunkering	3
buonaparte	2
buoyant	1
burden	7
bureau	2
bureaucracy	1
burial	8
buried	7
burleigh	1
burn	5
burned	2
burney	1
burning	18
burns	1
burnt	11
burst	1
bursting	1
burthen	1
bury	2
busca	1
bush	3
bushell	1
business	18
businesses	5
businesslike	1
bustling	1
busy	7
but	581
butler	1
butter	2
buy	7
buyer	1
buyers	4
buying	3
buys	1
by	783
byron	12
c	4
cabbage	1
cabildo	1
cabinet	1
cable	1
cables	3
cabs	1
cachapoal	5
cacique	1
cactus	3
cadets	5
cadiz	2
caja	1
cajole	1
cajoled	1
cajón	1
calama	8
calavera	2
calbuco	5
calcium	2
calcroft	1
calculate	1
calculated	10
calculates	1
calculation	1
calculations	2
calcutta	1
caldera	6
calera	2
